label	hydrophobicity_PRAM900101.Tr1221	hydrophobicity_PRAM900101.Tr1331	hydrophobicity_PRAM900101.Tr2332	hydrophobicity_ARGP820101.Tr1221	hydrophobicity_ARGP820101.Tr1331	hydrophobicity_ARGP820101.Tr2332	hydrophobicity_ZIMJ680101.Tr1221	hydrophobicity_ZIMJ680101.Tr1331	hydrophobicity_ZIMJ680101.Tr2332	hydrophobicity_PONP930101.Tr1221	hydrophobicity_PONP930101.Tr1331	hydrophobicity_PONP930101.Tr2332	hydrophobicity_CASG920101.Tr1221	hydrophobicity_CASG920101.Tr1331	hydrophobicity_CASG920101.Tr2332	hydrophobicity_ENGD860101.Tr1221	hydrophobicity_ENGD860101.Tr1331	hydrophobicity_ENGD860101.Tr2332	hydrophobicity_FASG890101.Tr1221	hydrophobicity_FASG890101.Tr1331	hydrophobicity_FASG890101.Tr2332	normwaalsvolume.Tr1221	normwaalsvolume.Tr1331	normwaalsvolume.Tr2332	polarity.Tr1221	polarity.Tr1331	polarity.Tr2332	polarizability.Tr1221	polarizability.Tr1331	polarizability.Tr2332	charge.Tr1221	charge.Tr1331	charge.Tr2332	secondarystruct.Tr1221	secondarystruct.Tr1331	secondarystruct.Tr2332	solventaccess.Tr1221	solventaccess.Tr1331	solventaccess.Tr2332
6	0.244897959	0.306122449	0.285714286	0.326530612	0.244897959	0.163265306	0.285714286	0.306122449	0.102040816	0.224489796	0.387755102	0.204081633	0.469387755	0.163265306	0	0.163265306	0.428571429	0.163265306	0.12244898	0.346938776	0.285714286	0.265306122	0.183673469	0.204081633	0.224489796	0.367346939	0.183673469	0.204081633	0.163265306	0.224489796	0.12244898	0.020408163	0.183673469	0.204081633	0.306122449	0.265306122	0.428571429	0.163265306	0.12244898
6	0.285714286	0.244897959	0.265306122	0.12244898	0.367346939	0.12244898	0.12244898	0.408163265	0.081632653	0.244897959	0.387755102	0.12244898	0.367346939	0.183673469	0.040816327	0.285714286	0.265306122	0.244897959	0.204081633	0.326530612	0.224489796	0.448979592	0.142857143	0.142857143	0.265306122	0.244897959	0.285714286	0.408163265	0.12244898	0.163265306	0.12244898	0.040816327	0.204081633	0.12244898	0.367346939	0.142857143	0.448979592	0.183673469	0.081632653
6	0.163265306	0.224489796	0.306122449	0.163265306	0.346938776	0.183673469	0.12244898	0.408163265	0.12244898	0.12244898	0.387755102	0.142857143	0.204081633	0.285714286	0.081632653	0.12244898	0.306122449	0.224489796	0.142857143	0.367346939	0.12244898	0.367346939	0.102040816	0.12244898	0.244897959	0.285714286	0.142857143	0.326530612	0.102040816	0.12244898	0.06122449	0	0.244897959	0.183673469	0.163265306	0.285714286	0.244897959	0.285714286	0.142857143
6	0.12244898	0.224489796	0.326530612	0.142857143	0.265306122	0.204081633	0.163265306	0.387755102	0.040816327	0.102040816	0.306122449	0.326530612	0.408163265	0.06122449	0.142857143	0.224489796	0.285714286	0.224489796	0.081632653	0.265306122	0.204081633	0.285714286	0.244897959	0.183673469	0.346938776	0.285714286	0.142857143	0.265306122	0.224489796	0.204081633	0.12244898	0.020408163	0.142857143	0.346938776	0.224489796	0.102040816	0.306122449	0.204081633	0.040816327
6	0.12244898	0.265306122	0.285714286	0.102040816	0.224489796	0.408163265	0.142857143	0.326530612	0.306122449	0.102040816	0.387755102	0.163265306	0.428571429	0.12244898	0.204081633	0.102040816	0.367346939	0.183673469	0.06122449	0.408163265	0.142857143	0.204081633	0.163265306	0.224489796	0.244897959	0.306122449	0.081632653	0.204081633	0.12244898	0.265306122	0.265306122	0	0.081632653	0.326530612	0.12244898	0.081632653	0.306122449	0.244897959	0.081632653
6	0.204081633	0.265306122	0.06122449	0.244897959	0.163265306	0.265306122	0.142857143	0.367346939	0.06122449	0.224489796	0.12244898	0.244897959	0.489795918	0	0.081632653	0.244897959	0.285714286	0.081632653	0.142857143	0.285714286	0.204081633	0.142857143	0.163265306	0.306122449	0.081632653	0.285714286	0.183673469	0.204081633	0.163265306	0.306122449	0.306122449	0.040816327	0.163265306	0.183673469	0.204081633	0.142857143	0.285714286	0.163265306	0.183673469
6	0.285714286	0.224489796	0.224489796	0.204081633	0.204081633	0.12244898	0.183673469	0.265306122	0.06122449	0.204081633	0.306122449	0.142857143	0.367346939	0.163265306	0	0.285714286	0.306122449	0.142857143	0.102040816	0.408163265	0.12244898	0.387755102	0.12244898	0.204081633	0.183673469	0.265306122	0.285714286	0.265306122	0.12244898	0.204081633	0.102040816	0.020408163	0.265306122	0.142857143	0.285714286	0.142857143	0.408163265	0.265306122	0.102040816
6	0.265306122	0.06122449	0.224489796	0.244897959	0.102040816	0.244897959	0.244897959	0.183673469	0.163265306	0.408163265	0.12244898	0.163265306	0.285714286	0.081632653	0.081632653	0.183673469	0.081632653	0.204081633	0.306122449	0.163265306	0.204081633	0.285714286	0.244897959	0	0.224489796	0.06122449	0.306122449	0.346938776	0.12244898	0.12244898	0.102040816	0.020408163	0.224489796	0.142857143	0.306122449	0.183673469	0.204081633	0.244897959	0.12244898
6	0.265306122	0.163265306	0.244897959	0.285714286	0.306122449	0.102040816	0.102040816	0.387755102	0.020408163	0.285714286	0.306122449	0.142857143	0.428571429	0.12244898	0	0.244897959	0.224489796	0.183673469	0.142857143	0.326530612	0.224489796	0.163265306	0.183673469	0.102040816	0.244897959	0.204081633	0.224489796	0.183673469	0.163265306	0.12244898	0.163265306	0	0.224489796	0.244897959	0.285714286	0.12244898	0.265306122	0.285714286	0.163265306
6	0.183673469	0.204081633	0.326530612	0.285714286	0.224489796	0.306122449	0.142857143	0.387755102	0.102040816	0.285714286	0.224489796	0.346938776	0.571428571	0.040816327	0	0.142857143	0.244897959	0.244897959	0.020408163	0.489795918	0.12244898	0.387755102	0.040816327	0.224489796	0.285714286	0.285714286	0.102040816	0.346938776	0.040816327	0.224489796	0.12244898	0.020408163	0.224489796	0.163265306	0.306122449	0.06122449	0.285714286	0.244897959	0.102040816
6	0.204081633	0.346938776	0.244897959	0.142857143	0.306122449	0.244897959	0.06122449	0.469387755	0.020408163	0.244897959	0.244897959	0.346938776	0.408163265	0.183673469	0.040816327	0.244897959	0.346938776	0.183673469	0.183673469	0.367346939	0.224489796	0.408163265	0.12244898	0.12244898	0.244897959	0.346938776	0.204081633	0.346938776	0.102040816	0.142857143	0.244897959	0.020408163	0.224489796	0.265306122	0.285714286	0.081632653	0.428571429	0.163265306	0.12244898
6	0.204081633	0.102040816	0.387755102	0.224489796	0.265306122	0.183673469	0.12244898	0.408163265	0.040816327	0.204081633	0.244897959	0.285714286	0.408163265	0.12244898	0.081632653	0.204081633	0.142857143	0.346938776	0.081632653	0.285714286	0.244897959	0.346938776	0.183673469	0.183673469	0.428571429	0.102040816	0.163265306	0.306122449	0.183673469	0.183673469	0.06122449	0.020408163	0.163265306	0.285714286	0.244897959	0.12244898	0.244897959	0.204081633	0.06122449
6	0.265306122	0.163265306	0.204081633	0.224489796	0.183673469	0.224489796	0.102040816	0.265306122	0.102040816	0.183673469	0.183673469	0.224489796	0.204081633	0.12244898	0.081632653	0.244897959	0.224489796	0.102040816	0.142857143	0.285714286	0.040816327	0.306122449	0.163265306	0.204081633	0.12244898	0.285714286	0.224489796	0.265306122	0.163265306	0.204081633	0.163265306	0.081632653	0.142857143	0.224489796	0.12244898	0.163265306	0.265306122	0.102040816	0.163265306
6	0.224489796	0.204081633	0.12244898	0.224489796	0.204081633	0.163265306	0.12244898	0.204081633	0.081632653	0.183673469	0.244897959	0.163265306	0.265306122	0.12244898	0.081632653	0.204081633	0.183673469	0.06122449	0.102040816	0.326530612	0.06122449	0.183673469	0.142857143	0.306122449	0.12244898	0.285714286	0.142857143	0.183673469	0.142857143	0.306122449	0.163265306	0.040816327	0.265306122	0.285714286	0.183673469	0.081632653	0.285714286	0.06122449	0.142857143
6	0.224489796	0.367346939	0.142857143	0.265306122	0.326530612	0.081632653	0.244897959	0.387755102	0.020408163	0.142857143	0.448979592	0.102040816	0.530612245	0.102040816	0.020408163	0.183673469	0.408163265	0.102040816	0.142857143	0.428571429	0.204081633	0.408163265	0.081632653	0.081632653	0.142857143	0.408163265	0.183673469	0.326530612	0.081632653	0.081632653	0.102040816	0.020408163	0.224489796	0.367346939	0.285714286	0.102040816	0.408163265	0.183673469	0.183673469
6	0.306122449	0.163265306	0.224489796	0.183673469	0.285714286	0.12244898	0.102040816	0.367346939	0.040816327	0.265306122	0.244897959	0.142857143	0.326530612	0.102040816	0.06122449	0.367346939	0.183673469	0.204081633	0.142857143	0.285714286	0.142857143	0.469387755	0.102040816	0.06122449	0.224489796	0.163265306	0.346938776	0.489795918	0.081632653	0.081632653	0.102040816	0.020408163	0.244897959	0.12244898	0.387755102	0.06122449	0.285714286	0.142857143	0.183673469
6	0.285714286	0.306122449	0.183673469	0.12244898	0.244897959	0.204081633	0.163265306	0.244897959	0.163265306	0.06122449	0.387755102	0.142857143	0.326530612	0.163265306	0.081632653	0.224489796	0.326530612	0.12244898	0.163265306	0.387755102	0.102040816	0.244897959	0.142857143	0.346938776	0.12244898	0.408163265	0.224489796	0.244897959	0.142857143	0.346938776	0.285714286	0	0.265306122	0.367346939	0.183673469	0.142857143	0.387755102	0.183673469	0.204081633
6	0.163265306	0.306122449	0.204081633	0.204081633	0.285714286	0.142857143	0.204081633	0.285714286	0.102040816	0.102040816	0.448979592	0.06122449	0.448979592	0.102040816	0.020408163	0.183673469	0.285714286	0.183673469	0.142857143	0.489795918	0.06122449	0.306122449	0.06122449	0.285714286	0.183673469	0.326530612	0.142857143	0.306122449	0.06122449	0.285714286	0.142857143	0	0.244897959	0.163265306	0.244897959	0.081632653	0.306122449	0.163265306	0.163265306
6	0.510204082	0	0.06122449	0.428571429	0.12244898	0.040816327	0.183673469	0.163265306	0	0.408163265	0.020408163	0.040816327	0.469387755	0.040816327	0.040816327	0.510204082	0	0.06122449	0.183673469	0.326530612	0.183673469	0.326530612	0.183673469	0.020408163	0.06122449	0	0.551020408	0.285714286	0.183673469	0.020408163	0.081632653	0	0.346938776	0.040816327	0.530612245	0.102040816	0.285714286	0.183673469	0.224489796
6	0.183673469	0.224489796	0.163265306	0.306122449	0.183673469	0.224489796	0.163265306	0.346938776	0.06122449	0.183673469	0.224489796	0.204081633	0.408163265	0.12244898	0.081632653	0.306122449	0.224489796	0.163265306	0.06122449	0.387755102	0.142857143	0.244897959	0.183673469	0.142857143	0.204081633	0.224489796	0.224489796	0.285714286	0.183673469	0.142857143	0.183673469	0.020408163	0.224489796	0.285714286	0.265306122	0.142857143	0.326530612	0.12244898	0.081632653
6	0.306122449	0.265306122	0.142857143	0.244897959	0.265306122	0.183673469	0.244897959	0.224489796	0.183673469	0.306122449	0.306122449	0.102040816	0.408163265	0.163265306	0.040816327	0.326530612	0.285714286	0.081632653	0.12244898	0.428571429	0.142857143	0.285714286	0.285714286	0.142857143	0.142857143	0.265306122	0.346938776	0.306122449	0.224489796	0.204081633	0.265306122	0	0.204081633	0.12244898	0.224489796	0.163265306	0.428571429	0.183673469	0.142857143
6	0.204081633	0.265306122	0.163265306	0.224489796	0.306122449	0.224489796	0.142857143	0.387755102	0.142857143	0.224489796	0.326530612	0.102040816	0.265306122	0.285714286	0.06122449	0.244897959	0.306122449	0.12244898	0.183673469	0.367346939	0.183673469	0.244897959	0.306122449	0.163265306	0.163265306	0.265306122	0.244897959	0.244897959	0.244897959	0.224489796	0.285714286	0.020408163	0.142857143	0.265306122	0.204081633	0.204081633	0.326530612	0.183673469	0.142857143
6	0.285714286	0.244897959	0.244897959	0.244897959	0.204081633	0.163265306	0.204081633	0.285714286	0.081632653	0.183673469	0.346938776	0.183673469	0.367346939	0.163265306	0.081632653	0.265306122	0.306122449	0.183673469	0.183673469	0.346938776	0.183673469	0.326530612	0.224489796	0.183673469	0.265306122	0.265306122	0.265306122	0.285714286	0.183673469	0.224489796	0.224489796	0.020408163	0.224489796	0.326530612	0.224489796	0.244897959	0.346938776	0.265306122	0.183673469
6	0.306122449	0.12244898	0.326530612	0.183673469	0.387755102	0.102040816	0.142857143	0.469387755	0.020408163	0.244897959	0.326530612	0.163265306	0.387755102	0.183673469	0.020408163	0.285714286	0.183673469	0.265306122	0.204081633	0.306122449	0.265306122	0.530612245	0.142857143	0.020408163	0.346938776	0.142857143	0.285714286	0.448979592	0.142857143	0.020408163	0.081632653	0	0.306122449	0.204081633	0.306122449	0.142857143	0.224489796	0.387755102	0.204081633
6	0.244897959	0.183673469	0.183673469	0.265306122	0.183673469	0.142857143	0.163265306	0.326530612	0	0.183673469	0.183673469	0.224489796	0.489795918	0.040816327	0.081632653	0.244897959	0.183673469	0.183673469	0.102040816	0.387755102	0.142857143	0.265306122	0.142857143	0.102040816	0.204081633	0.204081633	0.224489796	0.306122449	0.142857143	0.102040816	0.163265306	0	0.224489796	0.204081633	0.326530612	0.081632653	0.346938776	0.183673469	0.081632653
7	0.224489796	0.142857143	0.163265306	0.244897959	0.244897959	0.244897959	0.142857143	0.387755102	0.102040816	0.306122449	0.244897959	0.06122449	0.489795918	0.06122449	0.020408163	0.326530612	0.183673469	0.081632653	0.204081633	0.285714286	0.265306122	0.204081633	0.102040816	0.102040816	0.163265306	0.142857143	0.183673469	0.306122449	0.06122449	0.142857143	0.102040816	0.020408163	0.224489796	0.142857143	0.408163265	0.102040816	0.224489796	0.285714286	0.142857143
7	0.285714286	0.12244898	0.142857143	0.265306122	0.163265306	0.163265306	0.12244898	0.224489796	0.102040816	0.326530612	0.142857143	0.163265306	0.306122449	0.040816327	0.081632653	0.285714286	0.163265306	0.102040816	0.244897959	0.183673469	0.163265306	0.244897959	0.224489796	0.163265306	0.163265306	0.142857143	0.265306122	0.244897959	0.183673469	0.204081633	0.224489796	0.06122449	0.06122449	0.244897959	0.346938776	0.081632653	0.244897959	0.244897959	0.163265306
7	0.081632653	0.204081633	0.326530612	0.163265306	0.163265306	0.183673469	0.244897959	0.285714286	0.102040816	0.12244898	0.285714286	0.244897959	0.326530612	0.12244898	0.102040816	0.102040816	0.306122449	0.265306122	0.12244898	0.244897959	0.204081633	0.224489796	0.142857143	0.244897959	0.285714286	0.244897959	0.081632653	0.204081633	0.12244898	0.265306122	0.163265306	0	0.12244898	0.285714286	0.081632653	0.204081633	0.224489796	0.306122449	0.06122449
7	0.183673469	0.183673469	0.265306122	0.244897959	0.244897959	0.163265306	0.163265306	0.326530612	0.081632653	0.12244898	0.285714286	0.163265306	0.163265306	0.244897959	0.12244898	0.183673469	0.265306122	0.183673469	0.142857143	0.224489796	0.183673469	0.244897959	0.244897959	0.163265306	0.265306122	0.183673469	0.183673469	0.204081633	0.204081633	0.204081633	0.224489796	0.020408163	0.204081633	0.326530612	0.244897959	0.12244898	0.224489796	0.183673469	0.142857143
7	0.326530612	0.163265306	0.163265306	0.326530612	0.102040816	0.142857143	0.204081633	0.163265306	0.081632653	0.244897959	0.183673469	0.142857143	0.367346939	0.040816327	0.040816327	0.306122449	0.224489796	0.102040816	0.244897959	0.224489796	0.183673469	0.244897959	0.204081633	0.142857143	0.163265306	0.163265306	0.326530612	0.265306122	0.183673469	0.163265306	0.224489796	0	0.204081633	0.204081633	0.387755102	0.081632653	0.326530612	0.204081633	0.163265306
7	0.224489796	0.285714286	0.204081633	0.204081633	0.265306122	0.183673469	0.142857143	0.408163265	0.040816327	0.142857143	0.265306122	0.224489796	0.367346939	0.12244898	0	0.224489796	0.285714286	0.204081633	0.102040816	0.428571429	0.06122449	0.469387755	0.12244898	0.142857143	0.204081633	0.285714286	0.224489796	0.469387755	0.12244898	0.142857143	0.204081633	0.06122449	0.306122449	0.285714286	0.306122449	0.040816327	0.387755102	0.102040816	0.12244898
7	0.102040816	0.12244898	0.387755102	0.142857143	0.306122449	0.224489796	0.12244898	0.387755102	0.142857143	0.12244898	0.285714286	0.265306122	0.428571429	0.081632653	0.081632653	0.102040816	0.204081633	0.306122449	0.081632653	0.265306122	0.244897959	0.367346939	0.163265306	0.102040816	0.428571429	0.12244898	0.102040816	0.326530612	0.12244898	0.142857143	0.081632653	0.020408163	0.102040816	0.244897959	0.306122449	0.183673469	0.102040816	0.285714286	0.12244898
7	0.224489796	0.12244898	0.326530612	0.204081633	0.326530612	0.285714286	0.142857143	0.489795918	0.12244898	0.224489796	0.285714286	0.163265306	0.571428571	0.020408163	0.020408163	0.346938776	0.204081633	0.244897959	0.142857143	0.285714286	0.306122449	0.326530612	0.183673469	0.081632653	0.326530612	0.12244898	0.183673469	0.428571429	0.12244898	0.142857143	0.102040816	0	0.204081633	0.142857143	0.428571429	0.102040816	0.183673469	0.244897959	0.163265306
7	0.183673469	0.06122449	0.346938776	0.306122449	0.142857143	0.204081633	0.163265306	0.346938776	0.040816327	0.285714286	0.224489796	0.183673469	0.448979592	0.06122449	0.06122449	0.326530612	0.102040816	0.265306122	0.06122449	0.183673469	0.326530612	0.306122449	0.224489796	0.020408163	0.346938776	0.06122449	0.183673469	0.367346939	0.183673469	0.06122449	0.12244898	0.040816327	0.040816327	0.183673469	0.285714286	0.102040816	0.183673469	0.285714286	0.06122449
7	0.204081633	0.081632653	0.285714286	0.244897959	0.142857143	0.204081633	0.142857143	0.204081633	0.102040816	0.183673469	0.204081633	0.163265306	0.265306122	0.102040816	0.06122449	0.183673469	0.163265306	0.163265306	0.224489796	0.142857143	0.224489796	0.204081633	0.285714286	0.040816327	0.285714286	0.081632653	0.204081633	0.244897959	0.183673469	0.142857143	0.163265306	0	0.081632653	0.183673469	0.346938776	0.102040816	0.204081633	0.183673469	0.081632653
7	0.06122449	0.142857143	0.469387755	0.142857143	0.346938776	0.306122449	0.163265306	0.489795918	0.12244898	0.102040816	0.408163265	0.285714286	0.469387755	0.142857143	0.142857143	0.142857143	0.224489796	0.346938776	0.040816327	0.285714286	0.326530612	0.428571429	0.183673469	0.102040816	0.510204082	0.183673469	0.020408163	0.387755102	0.183673469	0.102040816	0.081632653	0	0.12244898	0.367346939	0.204081633	0.102040816	0.142857143	0.408163265	0.06122449
7	0.163265306	0.285714286	0.285714286	0.408163265	0.244897959	0.12244898	0.285714286	0.285714286	0.081632653	0.102040816	0.469387755	0.102040816	0.530612245	0.204081633	0.040816327	0.142857143	0.306122449	0.265306122	0.12244898	0.448979592	0.285714286	0.285714286	0.163265306	0.204081633	0.265306122	0.306122449	0.142857143	0.244897959	0.163265306	0.204081633	0.183673469	0.020408163	0.265306122	0.285714286	0.244897959	0.163265306	0.326530612	0.244897959	0.12244898
7	0.06122449	0.183673469	0.428571429	0.102040816	0.142857143	0.428571429	0.142857143	0.489795918	0.081632653	0.102040816	0.183673469	0.428571429	0.346938776	0.102040816	0.142857143	0.081632653	0.224489796	0.387755102	0.040816327	0.204081633	0.244897959	0.367346939	0.102040816	0.163265306	0.428571429	0.183673469	0.040816327	0.346938776	0.081632653	0.183673469	0.163265306	0	0.081632653	0.408163265	0.163265306	0.040816327	0.183673469	0.204081633	0.06122449
7	0.102040816	0.163265306	0.367346939	0.142857143	0.367346939	0.163265306	0.12244898	0.448979592	0.081632653	0.163265306	0.346938776	0.183673469	0.306122449	0.285714286	0.081632653	0.224489796	0.163265306	0.244897959	0.06122449	0.285714286	0.306122449	0.244897959	0.224489796	0.102040816	0.346938776	0.183673469	0.081632653	0.285714286	0.142857143	0.183673469	0	0	0.081632653	0.285714286	0.204081633	0.244897959	0.204081633	0.265306122	0.06122449
7	0.285714286	0.081632653	0.06122449	0.387755102	0.040816327	0.12244898	0.163265306	0.06122449	0.102040816	0.326530612	0.12244898	0.06122449	0.428571429	0	0	0.326530612	0.12244898	0.020408163	0.163265306	0.244897959	0.183673469	0.163265306	0.142857143	0.102040816	0.06122449	0.12244898	0.285714286	0.183673469	0.12244898	0.12244898	0.183673469	0.020408163	0.183673469	0.163265306	0.367346939	0.102040816	0.265306122	0.142857143	0.102040816
7	0.387755102	0	0.204081633	0.326530612	0.06122449	0.102040816	0.244897959	0.06122449	0.06122449	0.265306122	0.081632653	0.12244898	0.244897959	0.040816327	0.040816327	0.408163265	0.06122449	0.102040816	0.163265306	0.102040816	0.183673469	0.346938776	0.326530612	0.102040816	0.204081633	0	0.387755102	0.346938776	0.285714286	0.142857143	0.183673469	0.040816327	0.163265306	0.102040816	0.448979592	0.020408163	0.183673469	0.12244898	0.204081633
7	0.285714286	0.285714286	0.12244898	0.183673469	0.265306122	0.142857143	0.06122449	0.346938776	0.06122449	0.102040816	0.367346939	0.081632653	0.387755102	0.102040816	0.06122449	0.244897959	0.285714286	0.12244898	0.163265306	0.387755102	0.102040816	0.367346939	0.12244898	0.12244898	0.12244898	0.326530612	0.244897959	0.387755102	0.102040816	0.142857143	0.12244898	0	0.367346939	0.224489796	0.346938776	0.142857143	0.367346939	0.06122449	0.204081633
7	0.244897959	0.142857143	0.224489796	0.244897959	0.12244898	0.244897959	0.244897959	0.285714286	0.081632653	0.244897959	0.244897959	0.163265306	0.428571429	0.06122449	0.020408163	0.387755102	0.163265306	0.163265306	0.183673469	0.326530612	0.163265306	0.244897959	0.183673469	0.102040816	0.224489796	0.183673469	0.244897959	0.306122449	0.163265306	0.12244898	0.224489796	0.020408163	0.163265306	0.244897959	0.224489796	0.224489796	0.204081633	0.285714286	0.183673469
7	0.244897959	0.081632653	0	0.489795918	0	0.040816327	0.530612245	0	0.040816327	0.285714286	0.081632653	0	0.285714286	0	0	0.244897959	0.081632653	0	0.040816327	0.285714286	0	0.142857143	0.224489796	0.346938776	0	0.081632653	0.244897959	0.142857143	0.224489796	0.346938776	0.326530612	0.244897959	0.163265306	0.040816327	0.204081633	0	0.285714286	0	0.040816327
7	0.224489796	0.142857143	0.163265306	0.244897959	0.183673469	0.081632653	0.163265306	0.224489796	0.040816327	0.265306122	0.204081633	0.142857143	0.448979592	0.06122449	0.040816327	0.326530612	0.163265306	0.142857143	0.040816327	0.306122449	0.204081633	0.285714286	0.183673469	0.081632653	0.204081633	0.142857143	0.265306122	0.285714286	0.183673469	0.081632653	0.081632653	0	0.12244898	0.163265306	0.204081633	0.142857143	0.346938776	0.163265306	0.020408163
7	0.204081633	0.020408163	0.346938776	0.244897959	0.142857143	0.306122449	0.183673469	0.306122449	0.142857143	0.183673469	0.163265306	0.204081633	0.387755102	0	0.081632653	0.183673469	0.081632653	0.285714286	0.163265306	0.102040816	0.285714286	0.346938776	0.163265306	0.040816327	0.346938776	0.020408163	0.204081633	0.367346939	0.102040816	0.102040816	0.12244898	0.040816327	0.102040816	0.265306122	0.265306122	0.183673469	0.081632653	0.224489796	0.142857143
7	0.306122449	0.265306122	0.163265306	0.306122449	0.204081633	0.163265306	0.183673469	0.285714286	0.081632653	0.265306122	0.306122449	0.163265306	0.408163265	0.142857143	0.020408163	0.285714286	0.285714286	0.142857143	0.12244898	0.408163265	0.142857143	0.306122449	0.163265306	0.244897959	0.163265306	0.306122449	0.265306122	0.306122449	0.163265306	0.244897959	0.224489796	0.020408163	0.183673469	0.224489796	0.224489796	0.12244898	0.428571429	0.102040816	0.142857143
7	0.142857143	0.367346939	0.142857143	0.183673469	0.367346939	0.102040816	0.102040816	0.408163265	0.06122449	0.102040816	0.408163265	0.102040816	0.346938776	0.204081633	0.020408163	0.142857143	0.367346939	0.142857143	0.102040816	0.448979592	0.102040816	0.183673469	0.102040816	0.163265306	0.142857143	0.367346939	0.142857143	0.204081633	0.081632653	0.183673469	0.142857143	0.020408163	0.224489796	0.265306122	0.204081633	0.081632653	0.428571429	0.081632653	0.081632653
7	0.244897959	0.142857143	0.102040816	0.224489796	0.244897959	0.163265306	0.163265306	0.306122449	0.102040816	0.265306122	0.183673469	0.06122449	0.142857143	0.102040816	0.102040816	0.285714286	0.183673469	0.06122449	0.285714286	0.204081633	0.040816327	0.204081633	0.183673469	0.12244898	0.102040816	0.142857143	0.244897959	0.326530612	0.142857143	0.163265306	0.102040816	0.040816327	0.244897959	0.163265306	0.183673469	0.12244898	0.265306122	0.142857143	0.12244898
7	0.346938776	0.204081633	0.163265306	0.204081633	0.306122449	0.163265306	0.163265306	0.428571429	0.040816327	0.244897959	0.244897959	0.163265306	0.387755102	0.102040816	0.06122449	0.183673469	0.265306122	0.102040816	0.12244898	0.265306122	0.224489796	0.265306122	0.163265306	0.204081633	0.163265306	0.244897959	0.265306122	0.204081633	0.081632653	0.285714286	0.224489796	0.020408163	0.102040816	0.163265306	0.224489796	0.163265306	0.244897959	0.12244898	0.306122449
7	0.265306122	0.265306122	0.204081633	0.204081633	0.285714286	0.183673469	0.285714286	0.326530612	0.142857143	0.163265306	0.387755102	0.12244898	0.448979592	0.102040816	0.06122449	0.142857143	0.285714286	0.183673469	0.102040816	0.428571429	0.12244898	0.306122449	0.204081633	0.163265306	0.204081633	0.306122449	0.183673469	0.265306122	0.183673469	0.183673469	0.204081633	0.040816327	0.204081633	0.265306122	0.306122449	0.12244898	0.367346939	0.142857143	0.163265306
7	0.224489796	0.06122449	0.306122449	0.469387755	0.142857143	0.020408163	0.285714286	0.163265306	0	0.265306122	0.142857143	0.265306122	0.571428571	0.040816327	0	0.285714286	0.081632653	0.285714286	0.12244898	0.244897959	0.367346939	0.367346939	0.163265306	0.040816327	0.346938776	0.06122449	0.224489796	0.367346939	0.163265306	0.040816327	0.040816327	0	0.204081633	0.12244898	0.244897959	0.244897959	0.244897959	0.204081633	0.040816327
7	0.102040816	0.040816327	0.265306122	0.244897959	0.142857143	0.244897959	0.142857143	0.285714286	0.102040816	0.244897959	0.142857143	0.163265306	0.367346939	0.06122449	0.06122449	0.102040816	0.12244898	0.224489796	0.06122449	0.081632653	0.346938776	0.285714286	0.12244898	0.12244898	0.265306122	0.040816327	0.102040816	0.224489796	0.102040816	0.142857143	0.102040816	0.020408163	0.020408163	0.163265306	0.367346939	0.12244898	0	0.306122449	0.142857143
7	0.244897959	0.183673469	0.244897959	0.326530612	0.163265306	0.244897959	0.224489796	0.285714286	0.081632653	0.265306122	0.265306122	0.204081633	0.469387755	0.081632653	0.081632653	0.346938776	0.204081633	0.183673469	0.183673469	0.285714286	0.265306122	0.326530612	0.204081633	0.142857143	0.265306122	0.204081633	0.265306122	0.306122449	0.183673469	0.163265306	0.183673469	0	0.12244898	0.448979592	0.183673469	0.142857143	0.285714286	0.224489796	0.142857143
7	0.183673469	0.102040816	0.367346939	0.224489796	0.224489796	0.183673469	0.204081633	0.306122449	0.102040816	0.163265306	0.285714286	0.224489796	0.367346939	0.163265306	0.12244898	0.204081633	0.204081633	0.265306122	0.020408163	0.224489796	0.306122449	0.387755102	0.163265306	0.204081633	0.346938776	0.163265306	0.163265306	0.346938776	0.163265306	0.204081633	0.040816327	0	0.204081633	0.306122449	0.12244898	0.12244898	0.163265306	0.367346939	0.12244898
7	0.102040816	0.183673469	0.244897959	0.163265306	0.265306122	0.326530612	0.102040816	0.285714286	0.306122449	0.12244898	0.306122449	0.12244898	0.346938776	0.163265306	0.183673469	0.081632653	0.285714286	0.142857143	0.040816327	0.183673469	0.326530612	0.244897959	0.06122449	0.265306122	0.204081633	0.224489796	0.06122449	0.224489796	0.040816327	0.285714286	0.081632653	0.040816327	0.081632653	0.306122449	0.183673469	0.163265306	0.183673469	0.204081633	0.102040816
7	0.244897959	0.102040816	0.183673469	0.244897959	0.183673469	0.224489796	0.163265306	0.306122449	0.102040816	0.224489796	0.265306122	0.142857143	0.346938776	0.142857143	0.06122449	0.244897959	0.102040816	0.183673469	0.06122449	0.306122449	0.183673469	0.183673469	0.244897959	0.102040816	0.224489796	0.183673469	0.204081633	0.183673469	0.244897959	0.102040816	0.163265306	0.020408163	0.183673469	0.428571429	0.081632653	0.06122449	0.224489796	0.265306122	0.12244898
